Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
Johneshwy Fargas,26,13,MLB-NL,New York,7,22,21,1,6,3,1,0,3,0,0,7,0,1,0,0,0,0,0.286,0.286,0.524,0.81,Johneshwy,Fargas,Fargas,641561
Kyle Farmer,30,0,MLB-NL,Cincinnati,55,161,146,14,30,3,0,4,17,8,0,27,6,0,1,0,1,2,0.205,0.273,0.308,0.582,Kyle,Farmer,Farmer,571657
Erick Fedde,28,21,MLB-NL,Washington,7,10,7,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0.0,0.125,0.0,0.125,Erick,Fedde,Fedde,607200
Mario Feliciano,22,36,MLB-NL,Milwaukee,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,,Mario,Feliciano,Feliciano,666128
Junior Fernandez,24,4,MLB-NL,St. Louis,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Junior,Fernandez,Fernandez,658551
Jack Flaherty,25,6,MLB-NL,St. Louis,10,24,16,2,2,0,0,1,3,4,0,7,0,3,1,0,0,0,0.125,0.286,0.313,0.598,Jack,Flaherty,Flaherty,656427
David Fletcher,27,0,MLB-AL,Los Angeles,55,231,216,33,57,7,1,0,16,10,0,26,0,4,1,0,3,1,0.264,0.295,0.306,0.601,David,Fletcher,Fletcher,664058
Chris Flexen,26,16,MLB-AL,Seattle,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Chris,Flexen,Flexen,623167
Wilmer Flores,29,0,MLB-NL,San Francisco,50,141,125,16,30,5,1,3,16,14,0,20,1,0,1,1,1,0,0.24,0.319,0.368,0.687,Wilmer,Flores,Flores,527038
Estevan Florial,23,10,MLB-AL,New York,1,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.667,1.0,Estevan,Florial,Florial,664314
Mike Foltynewicz,29,3,MLB-AL,Texas,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Mike,Foltynewicz,Foltynewicz,592314
Mike Ford,28,5,MLB-AL,New York,22,72,60,6,8,0,0,3,5,11,1,23,1,0,0,0,0,0,0.133,0.278,0.283,0.561,Mike,Ford,Ford,645801
Dexter Fowler,35,58,MLB-AL,Los Angeles,7,21,20,3,5,0,0,0,1,1,0,6,0,0,0,0,1,0,0.25,0.286,0.25,0.536,Dexter,Fowler,Fowler,451594
Dustin Fowler,26,46,MLB-NL,Pittsburgh,18,46,41,3,7,1,0,0,2,3,0,20,1,0,1,0,1,0,0.171,0.239,0.195,0.434,Dustin,Fowler,Fowler,641583
Jake Fraley,26,0,MLB-AL,Seattle,12,46,29,7,6,2,0,2,9,16,1,10,1,0,0,0,2,0,0.207,0.5,0.483,0.983,Jake,Fraley,Fraley,641584
Ty France,26,0,MLB-AL,Seattle,51,210,185,24,46,14,0,3,21,18,0,40,6,0,1,0,0,0,0.249,0.333,0.373,0.706,Ty,France,France,664034
Maikel Franco,28,0,MLB-AL,Baltimore,56,231,217,17,44,13,0,6,28,13,0,34,0,0,1,1,0,0,0.203,0.247,0.346,0.592,Maikel,Franco,Franco,596748
Seth Frankoff,32,8,MLB-NL,Arizona,3,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.0,0.25,0.0,0.25,Seth,Frankoff,Frankoff,571676
Adam Frazier,29,0,MLB-NL,Pittsburgh,57,254,229,35,76,20,3,2,23,20,0,27,4,0,1,0,3,4,0.332,0.394,0.472,0.865,Adam,Frazier,Frazier,624428
Clint Frazier,26,0,MLB-AL,New York,50,177,151,15,28,5,0,5,11,24,0,50,2,0,0,1,2,0,0.185,0.305,0.318,0.623,Clint,Frazier,Frazier,640449
Todd Frazier,35,28,MLB-NL,Pittsburgh,13,40,35,3,3,1,0,0,4,3,0,6,2,0,0,0,0,0,0.086,0.2,0.114,0.314,Todd,Frazier,Frazier,453943
Kyle Freeland,28,1,MLB-NL,Colorado,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Kyle,Freeland,Freeland,607536
Freddie Freeman,31,0,MLB-NL,Atlanta,56,246,205,38,47,6,0,13,31,39,7,42,2,0,0,0,3,1,0.229,0.358,0.449,0.807,Freddie,Freeman,Freeman,518692
Mike Freeman,33,0,MLB-NL,Cincinnati,5,16,14,1,3,0,0,0,1,2,1,3,0,0,0,0,0,0,0.214,0.313,0.214,0.527,Mike,Freeman,Freeman,502273
Max Fried,27,0,MLB-NL,Atlanta,10,18,12,2,4,1,0,0,1,1,0,3,0,5,0,0,0,0,0.333,0.385,0.417,0.801,Max,Fried,Fried,608331
Joshua Fuentes,28,0,MLB-NL,Colorado,56,185,174,22,45,11,1,5,27,10,1,41,0,0,1,0,0,0,0.259,0.297,0.42,0.717,Joshua,Fuentes,Fuentes,658069
Carson Fulmer,27,24,MLB-NL,Cincinnati,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Carson,Fulmer,Fulmer,608334
Cam Gallagher,28,0,MLB-AL,Kansas City,20,50,44,3,10,2,0,0,1,3,0,11,0,1,1,1,0,0,0.227,0.271,0.273,0.544,Cam,Gallagher,Gallagher,595956
Zac Gallen,25,30,MLB-NL,Arizona,5,12,8,1,1,0,0,0,1,1,0,4,0,3,0,0,0,0,0.125,0.222,0.125,0.347,Zac,Gallen,Gallen,668678
Joey Gallo,27,0,MLB-AL,Texas,58,241,193,31,40,5,0,10,26,45,1,79,3,0,0,1,4,0,0.207,0.365,0.389,0.754,Joey,Gallo,Gallo,608336
Freddy Galvis,31,0,MLB-AL,Baltimore,54,205,184,29,46,10,1,9,23,17,1,44,2,1,1,1,1,0,0.25,0.319,0.462,0.781,Freddy,Galvis,Galvis,520471
Ben Gamel,29,0,"MLB-AL,MLB-NL","Cleveland,Pittsburgh",32,84,74,7,14,6,1,0,3,8,0,23,0,0,2,1,0,1,0.189,0.262,0.297,0.559,Ben,Gamel,Gamel,592325
John Gant,28,0,MLB-NL,St. Louis,10,16,11,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0.0,0.0,0.0,0.0,John,Gant,Gant,607231
Adolis García,28,0,MLB-AL,Texas,51,207,195,28,54,3,1,16,42,10,0,58,1,0,1,1,7,3,0.277,0.314,0.549,0.863,Adolis,García,García,666969
Aramis Garcia,28,1,MLB-AL,Oakland,22,61,56,5,11,1,0,2,4,1,0,18,2,2,0,1,0,0,0.196,0.237,0.321,0.559,Aramis,Garcia,Garcia,605244
Avisail Garcia,30,0,MLB-NL,Milwaukee,53,202,182,28,44,6,0,11,32,16,1,51,3,0,1,1,4,2,0.242,0.312,0.456,0.768,Avisail,Garcia,Garcia,541645
Leury Garcia,30,2,MLB-AL,Chicago,47,169,151,21,35,6,1,0,17,12,0,41,0,5,1,1,2,1,0.232,0.287,0.285,0.571,Leury,Garcia,Garcia,544725
Luis Garcia,21,8,MLB-NL,Washington,9,13,12,2,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0.167,0.231,0.333,0.564,Luis,Garcia,Garcia,408202
Luis Garcia,24,47,MLB-AL,Houston,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Luis,Garcia,Garcia,408202
