last_name, first_name,player_id,year,b_ab,b_total_pa,b_single,b_double,b_triple,b_home_run,b_walk,b_k_percent,b_bb_percent,on_base_plus_slg,isolated_power,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_hit_by_pitch,r_run,r_stolen_base_pct,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,sprint_speed,
Dahl, David,621311,2021,144,154,19,7,0,4,6,26.6,3.9,.581,.132,12,49,1,1,1,16,,.242,.421,.299,.275,.179,88.4,14,38.7,9,8.5,37.7,27,51.7,46.2,20.8,27.7,
Phillips, Brett,621433,2021,110,128,16,5,0,3,15,41.4,11.7,.650,.127,15,38,2,7,0,15,,.194,.325,.276,.292,.132,86.9,9.6,34.4,4,6.6,41,34.1,41.5,47.5,21.3,27.9,
Taylor, Tyrone,621438,2021,82,92,10,3,0,5,5,22.8,5.4,.743,.220,14,36,1,1,5,6,,.248,.479,.348,.325,.232,87.2,18.2,32.3,8,12.3,36.9,22.8,50,38.5,24.6,28.8,
Buxton, Byron,621439,2021,92,98,15,10,0,9,4,23.5,4.1,1.180,.402,17,71,0,5,2,19,,.326,.696,.444,.368,.369,94.2,9.3,36.2,15,21.7,60.9,30.9,55.9,46.4,27.5,29.8,
Brinson, Lewis,621446,2021,63,64,9,3,0,2,1,29.7,1.6,.599,.143,5,23,0,0,0,3,,.238,.357,.263,.250,.119,89.6,11.7,27.3,3,6.8,40.9,36.1,58.1,47.7,13.6,28.8,
Duggar, Steven,621453,2021,79,85,14,5,1,4,6,37.6,7.1,.897,.241,14,43,0,1,0,15,,.234,.490,.334,.295,.257,90.3,16,40.8,7,14.3,40.8,31.3,41.1,34.7,30.6,28.4,
Rios, Edwin,621458,2021,51,60,3,0,0,1,7,30.0,11.7,.354,.059,1,7,0,0,2,4,,.136,.294,.257,.265,.159,90,11.1,27.3,4,12.1,45.5,31.2,46.4,42.4,39.4,26.3,
Stewart, DJ,621466,2021,128,150,16,5,0,6,20,24.7,13.3,.717,.180,18,50,0,0,2,17,,.228,.405,.330,.343,.177,87.2,18.8,34,7,7.4,31.9,30.7,49.1,35.1,29.8,26.6,
Ward, Taylor,621493,2021,91,103,13,3,0,5,7,26.2,6.8,.730,.198,16,39,1,1,3,15,,.237,.447,.327,.315,.210,89.2,14.3,35.3,9,13.2,38.2,27.6,46.1,45.6,33.8,28.3,
Mathisen, Wyatt,621500,2021,42,51,4,0,0,1,5,41.2,9.8,.445,.071,8,8,0,0,3,3,,.181,.286,.275,.306,.106,86.8,23.7,31.8,1,4.5,40.9,43.5,46.2,22.7,18.2,,
Nido, Tomas,621512,2021,66,71,11,2,1,3,3,22.5,4.2,.764,.197,11,30,0,0,2,9,,.270,.475,.343,.322,.205,88,8.7,38,5,10,42,35.1,62.4,46,26,25.3,
Wendle, Joey,621563,2021,173,189,27,16,1,6,11,20.1,5.8,.841,.208,26,86,3,4,4,35,,.233,.355,.286,.294,.122,87.1,7.7,30,7,5,35.3,24.4,48.2,47.9,23.6,27.7,
Olson, Matt,621566,2021,194,226,25,14,0,15,25,16.8,11.1,.950,.304,40,113,1,0,4,37,,.265,.539,.382,.359,.274,92.8,15.9,29.4,22,13.5,50.3,23.3,46.4,41.7,31.3,25.8,
