Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
Jarrod Dyson,34,519,MLB-NL,Arizona,130,451,399,65,92,11,2,7,27,47,0,85,2,1,2,1,30,3,0.231,0.313,0.321,0.634,Jarrod,Dyson,Dyson,502481
Adam Eaton,30,519,MLB-NL,Washington,151,656,566,103,158,25,7,15,49,65,0,106,13,9,3,8,15,2,0.279,0.365,0.428,0.792,Adam,Eaton,Eaton,284566
Tommy Edman,24,519,MLB-NL,St. Louis,92,350,327,59,99,17,7,11,36,16,0,62,7,0,0,3,15,1,0.303,0.349,0.498,0.847,Tommy,Edman,Edman,669242
Zach Eflin,25,520,MLB-NL,Philadelphia,28,52,50,3,8,1,0,0,2,0,0,27,0,2,0,0,0,0,0.16,0.16,0.18,0.34,Zach,Eflin,Eflin,621107
Jerad Eickhoff,28,630,MLB-NL,Philadelphia,11,19,14,0,0,0,0,0,0,1,0,7,0,4,0,0,0,0,0.0,0.067,0.0,0.067,Jerad,Eickhoff,Eickhoff,595191
Roenis Elias,30,577,MLB-NL,Washington,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Roenis,Elias,Elias,606273
Jake Elmore,32,519,MLB-NL,Pittsburgh,20,49,47,3,10,1,0,0,4,2,0,8,0,0,0,0,0,1,0.213,0.245,0.234,0.479,Jake,Elmore,Elmore,518653
Edwin Encarnacion,36,536,MLB-AL,"Seattle,New York",109,486,418,81,102,18,0,34,86,58,1,103,7,0,3,4,0,0,0.244,0.344,0.531,0.875,Edwin,Encarnacion,Encarnacion,429665
Adam Engel,27,519,MLB-AL,Chicago,89,248,227,26,55,10,2,6,26,14,0,78,6,1,0,5,3,3,0.242,0.304,0.383,0.687,Adam,Engel,Engel,641553
Nathan Eovaldi,29,555,MLB-AL,Boston,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Nathan,Eovaldi,Eovaldi,543135
Robbie Erlin,28,526,MLB-NL,San Diego,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,Robbie,Erlin,Erlin,572362
Phil Ervin,26,520,MLB-NL,Cincinnati,94,260,236,30,64,11,7,7,23,18,0,63,4,0,2,4,4,2,0.271,0.331,0.466,0.797,Phil,Ervin,Ervin,640447
Eduardo Escobar,30,519,MLB-NL,Arizona,158,699,636,94,171,29,10,35,118,50,3,130,3,0,10,8,5,1,0.269,0.32,0.511,0.831,Eduardo,Escobar,Escobar,500871
Luis Escobar,23,586,MLB-NL,Pittsburgh,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Luis,Escobar,Escobar,650813
Thomas Eshelman,25,580,MLB-AL,Baltimore,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Thomas,Eshelman,Eshelman,664045
Thairo Estrada,23,519,MLB-AL,New York,35,69,64,12,16,3,0,3,12,3,0,15,1,1,0,1,4,0,0.25,0.294,0.438,0.732,Thairo,Estrada,Estrada,642731
Kyle Farmer,28,519,MLB-NL,Cincinnati,97,198,184,22,42,6,0,9,27,10,1,60,3,0,1,1,4,0,0.228,0.278,0.408,0.685,Kyle,Farmer,Farmer,571657
Erick Fedde,26,561,MLB-NL,Washington,12,20,15,1,2,0,0,0,0,0,0,6,0,5,0,0,0,0,0.133,0.133,0.133,0.267,Erick,Fedde,Fedde,607200
Tim Federowicz,31,523,MLB-AL,Texas,29,83,75,6,12,2,0,4,7,5,0,31,0,3,0,1,1,0,0.16,0.213,0.347,0.559,Tim,Federowicz,Federowicz,543148
Caleb Ferguson,22,552,MLB-NL,Los Angeles,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,Caleb,Ferguson,Ferguson,657571
Derek Fisher,25,519,MLB-AL,"Toronto,Houston",57,168,147,23,27,4,1,7,17,21,0,58,0,0,0,3,5,1,0.184,0.286,0.367,0.653,Derek,Fisher,Fisher,605233
Jack Flaherty,23,519,MLB-NL,St. Louis,35,66,54,4,10,3,0,0,4,2,0,17,0,9,1,0,1,1,0.185,0.211,0.241,0.451,Jack,Flaherty,Flaherty,656427
Ryan Flaherty,32,519,MLB-AL,Cleveland,14,22,21,4,3,2,0,0,1,0,0,7,0,1,0,1,0,0,0.143,0.143,0.238,0.381,Ryan,Flaherty,Flaherty,475247
